;pharmacie;lien;adresse;coordonnee;telephone
21;Pharmacie Abna Achouhada;https://www.telecontact.ma/annonceur/pharmacie-abna-achouhada-/2110054/casablanca.php; Hay Saïda, rue 10 n°127;33.591984562465676, -7.561250335062882;05 22 62 17 04 
22;Pharmacie Abou Ayoub;https://www.telecontact.ma/annonceur/pharmacie-abou-ayoub-/3253477/casablanca.php; avenue du Dix Mars, hay El Wahda I rue 1 n°1;33.54527191250076, -7.544468470095126;05 22 38 53 85 
23;Pharmacie Abou Bakr;https://www.telecontact.ma/annonceur/pharmacie-abou-bakr-/2156453/casablanca.php; avenue du Cdt Driss Lharti - ex A, grp. 4;33.56706583376207, -7.5415300158942955;05 22 70 54 63 
24;Pharmacie Abou Dabi;https://www.telecontact.ma/annonceur/pharmacie-abou-dabi-/3171667/casablanca.php; 9 Bis, rue des Bouvreuils, ang. rue Abou Dabi;33.55226700950029, -7.64028743642786;05 22 99 64 10 
25;Pharmacie Abou Soulaimane;https://www.telecontact.ma/annonceur/pharmacie-abou-soulaimane-/2211431/casablanca.php; 4, rue Abou Soulaimane El Khattabi ;33.57292991548118, -7.610988582871413;05 22 82 90 44 
26;Pharmacie Abou Zaid;https://www.telecontact.ma/annonceur/pharmacie-abou-zaid-/3190591/casablanca.php; hay Massira II, rue 36 n°4;33.574694023731396, -7.546596205016385;05 22 70 22 84 
27;Pharmacie Abouab Essalam;https://www.telecontact.ma/annonceur/pharmacie-abouab-essalam-/3267918/casablanca.php; quartier Ahl Loghlam, lotiss. Essalam II, lot J 38;33.58257330168242, -7.48281863906027;05 22 01 07 21 
28;Pharmacie Abouab Nassim;https://www.telecontact.ma/annonceur/pharmacie-abouab-nassim-/3270835/casablanca.php; quartier Lissasfa (route d'El Jadida), lotiss. Nassim 2° Tranche imm. n°281 n°1 Parc II;33.51938341144778, -7.661558022914846;05 22 93 89 33 
29;Pharmacie Aboulkacem Chabbi;https://www.telecontact.ma/annonceur/pharmacie-aboulkacem-chabbi-/1454800/casablanca.php; hay Mohammadi, lot F Dar Lamane, n°11-12;33.59033346905359, -7.555648724265325;05 22 60 94 26 
30;Pharmacie Abrar Laaonate;https://www.telecontact.ma/annonceur/pharmacie-abrar-laaonate-/3294689/casablanca.php; quartier Ahl Loghlam, GH A rue 7 n°42 Salam 2;33.582953169283364, -7.482000565310727;05 22 74 23 25 
31;Pharmacie Acharaf;https://www.telecontact.ma/annonceur/pharmacie-acharaf-/0280200/casablanca.php; 96, rue Socrate ;33.57764055368626, -7.644909178426656;05 22 25 22 09 
32;Pharmacie Achcharaf;https://www.telecontact.ma/annonceur/pharmacie-achcharaf-/3267817/casablanca.php; bd El Qods, Coopérative Acharaf n°DM2;33.5384802402868, -7.611074425457446;05 22 21 64 09 
33;Pharmacie Achir;https://www.telecontact.ma/annonceur/pharmacie-achir-/3007414/casablanca.php; lotiss. Mandarona, rue 14 n°101, Aïn Chok;33.53271711610623, -7.613751109690237;05 22 52 82 53 
34;Pharmacie Achourouk;https://www.telecontact.ma/annonceur/pharmacie-achourouk-/3035320/casablanca.php; quartier Beausite, 06 n°1 EQ8, Addoha I;33.59351731835814, -7.53376217144013;05 22 67 36 67 
35;Pharmacie Achraf;https://www.telecontact.ma/annonceur/pharmacie-achraf-/2217023/casablanca.php; bd Anoual -ex Felix Faure, résid. Annajd, imm.20;33.57010196997915, -7.6346214153190175;05 22 98 97 63 
36;Pharmacie Acima Inara;https://www.telecontact.ma/annonceur/pharmacie-acima-inara-/3272338/casablanca.php; avenue du Deux Mars, c.com Acima Inara mag. B6;33.54002283282642, -7.600768037317721;05 22 87 49 12 
37;Pharmacie Actuelle;https://www.telecontact.ma/annonceur/pharmacie-actuelle-/3099380/casablanca.php; cité Sidi Bernoussi, Km 12,5 Rp1 Boustane II, imm. 13 mag. 5 et 6;33.61708082827389, -7.4963694955635125;05 22 73 15 36 
38;Pharmacie Ad-damane;https://www.telecontact.ma/annonceur/pharmacie-ad-damane-/3078505/casablanca.php; 600, bd El Qods, lotiss. Al Hamra II;33.53755994126782, -7.604134535678544;05 22 50 65 10 
39;Pharmacie Adam;https://www.telecontact.ma/annonceur/pharmacie-adam-/3180099/casablanca.php; lotiss. Basbassa (Ain Sebaâ), rue 3 n°72 Ain Sebâa;33.61355954352897, -7.540989609572751;05 22 34 03 12 
40;Pharmacie Addahab;https://www.telecontact.ma/annonceur/pharmacie-addahab-/3130563/casablanca.php; hay Jamila V (cité Djemaa) ang. rue 70 et rue 120;33.544009, -7.569863;05 22 37 09 37 
41;Pharmacie Addiar;https://www.telecontact.ma/annonceur/pharmacie-addiar-/3056708/casablanca.php; Hay Inara I, rue Addiar Al Jadida n°16;33.53097175292278, -7.609118497153531;05 22 50 75 19 
42;Pharmacie Addoha;https://www.telecontact.ma/annonceur/pharmacie-addoha-/1499800/casablanca.php; avenue Stendhal ;33.57007218688818, -7.636049007472432;05 22 25 96 69 
43;Pharmacie Adiba;https://www.telecontact.ma/annonceur/pharmacie-adiba-/1399900/casablanca.php; 181, avenue Reda Guédira -ex Nil, Bloc 23;33.5514, -7.58038;05 22 37 39 36 
44;Pharmacie Adil;https://www.telecontact.ma/annonceur/pharmacie-adil-/3033702/casablanca.php; hay Mohammadi, ElMassira imm.71, n°3;33.5768482709996, -7.56621388175131;05 22 63 87 58 
45;Pharmacie Afak;https://www.telecontact.ma/annonceur/pharmacie-afak-/2193927/casablanca.php; hay Mohammadi, bloc 22 rue 6 n°74;33.59091659677776, -7.565773999472867;05 22 62 83 70 
46;Pharmacie Afif;https://www.telecontact.ma/annonceur/pharmacie-afif-/3155593/casablanca.php; route d' El jadida, Kasbat Alamine imm. 4 mag n° 10;33.5323669462703, -7.682522847824089;05 22 65 15 40 
47;Pharmacie Afriquia;https://www.telecontact.ma/annonceur/pharmacie-afriquia-/0280400/casablanca.php; 1017, bd Mohammed VI ;33.552442890, -7.590076200;05 22 37 14 28 
48;Pharmacie Ahl AlFalah;https://www.telecontact.ma/annonceur/pharmacie-ahl-alfalah-/3308142/casablanca.php; ancienne route de Rabat, résid. Aghanimn°40;33.6011059721035, -7.535281000463897;05 22 71 74 91 
49;Pharmacie Ahl Albadr;https://www.telecontact.ma/annonceur/pharmacie-ahl-albadr-/3154593/casablanca.php; 83, lotiss. Al Badr, GH 09, n° 8;33.598698417032665, -7.531157768014509;05 22 34 13 39 
50;Pharmacie Ahl Assalam;https://www.telecontact.ma/annonceur/pharmacie-ahl-assalam-/3280861/casablanca.php; quartier Ahl Loghlam, lotiss. Abouab Essalam n° L 94;33.58394444444, -7.477708333333;05 22 01 05 98 
51;Pharmacie Ahl Loughlam;https://www.telecontact.ma/annonceur/pharmacie-ahl-loughlam-/3275624/casablanca.php; quartier Ahl Loghlam, lotiss. Salam I, lot n°380 tranche C;33.59334748543997, -7.485809302111875;05 22 01 04 75 
52;Pharmacie Ahlan;https://www.telecontact.ma/annonceur/pharmacie-ahlan-/2110009/casablanca.php; cité Sidi Othmane II, rue 6 n°2-4,;33.56808743604625, -7.568813090612821;05 22 29 19 26 
53;Pharmacie Ahmed;https://www.telecontact.ma/annonceur/pharmacie-ahmed-/3086075/casablanca.php; hay El Wifak 2, ang. rue 40 n°75 et rue 63 n°3;33.55549116869869, -7.687195255928032;05 22 89 28 23 
54;Pharmacie Ahmed Ali;https://www.telecontact.ma/annonceur/pharmacie-ahmed-ali-/3079415/casablanca.php; 60 Bis, lotiss. El Fath , Sidi Maârouf;33.5390272549599, -7.6491240026985;05 22 97 32 16 
55;Pharmacie Ahmed Rayan;https://www.telecontact.ma/annonceur/pharmacie-ahmed-rayan-/3275158/casablanca.php; hay El Oulfa, résid. cité Essalam Gh9, imm. 77 n°1;33.55138154126281, -7.691222204768337;05 22 89 83 34 
56;Pharmacie Ahmida;https://www.telecontact.ma/annonceur/pharmacie-ahmida-/2222790/casablanca.php; rte 1100 , cplxe com. Sidi Maarouf, Oulad Haddou;33.515628532308256, -7.641775531198846;05 22 33 55 87 
57;Pharmacie Aicha;https://www.telecontact.ma/annonceur/pharmacie-aicha-/0280500/casablanca.php; 167, bd Modibo Keita ;33.563, -7.60207;05 22 28 17 96 
58;Pharmacie Aida;https://www.telecontact.ma/annonceur/pharmacie-aida-/2110047/casablanca.php; 196, bd Mohamed Zerktouni ;33.595455600, -7.637984280;05 22 26 32 53 
59;Pharmacie Ain Chok;https://www.telecontact.ma/annonceur/pharmacie-ain-chok-/0280700/casablanca.php; pl. de la Grande Mosquée, bd Temara;33.573, -7.5774;05 22 21 03 60 
60;Pharmacie Ait Lbacha;https://www.telecontact.ma/annonceur/pharmacie-ait-lbacha-/3268498/casablanca.php; rte 109 , Km 10 Ouled Hadou, Sidi Maarouf;33.51292651658564, -7.6317858455383885;05 22 32 12 10 
61;Pharmacie Al Alaa;https://www.telecontact.ma/annonceur/pharmacie-al-alaa-/3077589/casablanca.php; avenue Lhoussine Assoussi, 11, Imm. G. lot Al Alaa;33.5815, -7.53556;05 22 71 96 72 
62;Pharmacie Al Amana;https://www.telecontact.ma/annonceur/pharmacie-al-amana-/3294203/casablanca.php; quartier Ahl Loghlam, lotiss. Al Amana n°419;33.5857721041109, -7.48045177141114;05 22 75 81 45 
63;Pharmacie Al Amne;https://www.telecontact.ma/annonceur/pharmacie-al-amne-/3115468/casablanca.php; 1, rue du Golo ;33.556236408763034, -7.616983414175433;05 22 83 76 30 
64;Pharmacie Al Andalib;https://www.telecontact.ma/annonceur/pharmacie-al-andalib-/3112347/casablanca.php; cité Aïn Chok, lot Al Idaa II, rue 33 n°35;NO COORDINATES;05 22 50 69 50 
65;Pharmacie Al Azhar Bernoussi;https://www.telecontact.ma/annonceur/pharmacie-al-azhar-bernoussi-/3337111/casablanca.php; lot. El Azhar, diar Al Hana GH1, imm.9 n°8;NO COORDINATES;05 22 75 61 20 
66;Pharmacie Al Azhar Essalam;https://www.telecontact.ma/annonceur/pharmacie-al-azhar-essalam-/3315420/casablanca.php; hay El Oulfa, q. Al Azhar, imm. 38, mag4, GH 54B;NO COORDINATES;05 22 91 17 18 
67;Pharmacie Al Hamd;https://www.telecontact.ma/annonceur/pharmacie-al-hamd-/3300802/casablanca.php; hay El Qods, résid. Boustane imm. G3 G n°2;NO COORDINATES;05 22 73 01 71 
68;Pharmacie Al Iman;https://www.telecontact.ma/annonceur/pharmacie-al-iman-/2216979/casablanca.php; Hay ElFath 3, rue 4 n°70;33.53344233794416, -7.591582214614164;05 22 52 57 00 
69;Pharmacie Al Madina;https://www.telecontact.ma/annonceur/pharmacie-al-madina-/3187710/casablanca.php; 27, lotiss. Al Badr, G3B, n°4, Aïn Sébaâ;33.59727188676497, -7.532207691783128;05 22 35 27 74 
70;Pharmacie Al Maghariba;https://www.telecontact.ma/annonceur/pharmacie-al-maghariba-/3275651/casablanca.php; quartier Ahl Loghlam, lotiss. Salam II lot. V70;33.586738346842715, -7.483212923785459;05 22 01 04 23 
71;Pharmacie Al Marwa;https://www.telecontact.ma/annonceur/pharmacie-al-marwa-/3288316/casablanca.php; hay Sidi Moumen, résid. Al Boustane imm. A5 n°8;NO COORDINATES;05 22 70 48 49 
72;Pharmacie Al Mawlid;https://www.telecontact.ma/annonceur/pharmacie-al-mawlid-/2145759/casablanca.php; rue Ibn Katir ang. rue Abou Hassan Saghir, résid. AlMawlid;33.57479924151485, -7.647838437113301;05 22 23 17 06 
73;Pharmacie Al Maâli;https://www.telecontact.ma/annonceur/pharmacie-al-ma-li-/2110138/casablanca.php; hay Moulay Rachid, grp. 6, rue V n°45;33.568852660381225, -7.527038489752158;05 22 71 73 30 
74;Pharmacie Al Mouna;https://www.telecontact.ma/annonceur/pharmacie-al-mouna-/2196934/casablanca.php; hay Omar Ibn Khattab, rue 1 n°57 bis;33.56374541554229, -7.585034942408811;05 22 82 67 08 
75;Pharmacie Al Omra;https://www.telecontact.ma/annonceur/pharmacie-al-omra-/3274329/casablanca.php; zone ind. Lissasfa, Chemin Tertiaire 1077;33.52493, -7.657936666667;05 22 90 96 11 
76;Pharmacie Al Oum;https://www.telecontact.ma/annonceur/pharmacie-al-oum-/3141771/casablanca.php; hay Sidi Moumen Jdid, lot. Meryeme n° 6;33.57965049974518, -7.546775913020383;05 22 72 97 03 
77;Pharmacie Al Qodouss;https://www.telecontact.ma/annonceur/pharmacie-al-qodouss-/3086012/casablanca.php; quartier Lissasfa (route d'El Jadida), lotiss. Youssra lot. 115;33.53663725275711, -7.682562808222997;05 22 93 26 75 
78;Pharmacie Al Walaâ;https://www.telecontact.ma/annonceur/pharmacie-al-wala-/3141004/casablanca.php; hay Alwalaa sect 2, imm. 4, tranche 15;33.57477304931154, -7.518990166662661;05 22 72 73 91 
79;Pharmacie Al khalil;https://www.telecontact.ma/annonceur/pharmacie-al-khalil-/2110130/casablanca.php; 506, bd El Khalil, hay Mly. Abdellah;33.5476, -7.59103;05 22 52 87 67 
80;Pharmacie Al-Mouna;https://www.telecontact.ma/annonceur/pharmacie-al-mouna-/2168394/casablanca.php; 95 Bis, bd Oqba Bnou Nafiaa, grp.4;33.589388430, -7.613504280;05 22 70 28 16 
81;Pharmacie AlAhd El Jadid;https://www.telecontact.ma/annonceur/pharmacie-alahd-el-jadid-/0279900/casablanca.php; 43, bd de la Grande Ceinture (h.Mohammadi) ;33.599313090, -7.624570320;05 22 60 12 46 
82;Pharmacie AlAkhawayn;https://www.telecontact.ma/annonceur/pharmacie-alakhawayn-/2200828/casablanca.php; lotiss. Badr -ex Vermont, c. com. Badr n°27;33.55051422048765, -7.627240846501366;05 22 21 48 48 
83;Pharmacie AlAlia;https://www.telecontact.ma/annonceur/pharmacie-alalia-/2110237/casablanca.php; 83, bd Massira El Khadra ;33.5869, -7.63948;05 22 23 79 28 
84;Pharmacie AlAmal;https://www.telecontact.ma/annonceur/pharmacie-alamal-/0280900/casablanca.php; av. Zouhair Med Najjar -ex D, Bloc Kodia 1 n°44;33.5845, -7.56292;05 22 60 13 19 
85;Pharmacie AlAmane;https://www.telecontact.ma/annonceur/pharmacie-alamane-/0281000/casablanca.php; 415, avenue Joulan - ex D, Sidi Othmane;33.5604, -7.57558;05 22 37 38 32 
86;Pharmacie AlAndalous;https://www.telecontact.ma/annonceur/pharmacie-alandalous-/2161608/casablanca.php; 411, avenue du Cdt Driss Lharti - ex A, hay Al Baraka;33.5471, -7.57513;05 22 70 74 09 
87;Pharmacie AlAndaloussia;https://www.telecontact.ma/annonceur/pharmacie-alandaloussia-/3060151/casablanca.php; 126, rue Dom Pérignon ;33.56572724948203, -7.633499671239958;05 22 98 06 93 
88;Pharmacie AlAntaria;https://www.telecontact.ma/annonceur/pharmacie-alantaria-/2185972/casablanca.php; hay Antaria III, rue 8 n°46;33.58624755673061, -7.545428471011833;05 22 35 66 29 
89;Pharmacie AlAqsa;https://www.telecontact.ma/annonceur/pharmacie-alaqsa-/3145128/casablanca.php; 6, rue du Soldat Emile Brunet, résid. AlAmane;33.58225998340714, -7.576152994472862;05 22 63 00 63 
90;Pharmacie AlArabiya;https://www.telecontact.ma/annonceur/pharmacie-alarabiya-/3309105/casablanca.php; quartier Ahl Loghlam, lotiss. AlFalah tranche I rue 28 n°16;33.5798104192392, -7.511200615557868;05 22 71 98 85 
91;Pharmacie AlAtfal;https://www.telecontact.ma/annonceur/pharmacie-alatfal-/3131285/casablanca.php; 31, lotiss. Moulay Thami, bd HH 24;33.55265468558503, -7.689762151483137;05 22 91 05 98 
92;Pharmacie AlAzhar;https://www.telecontact.ma/annonceur/pharmacie-alazhar-/1625600/casablanca.php; 133, bd Taza, hay Mly Abdellah;33.54537332351089, -7.594968099524521;05 22 21 59 66 
93;Pharmacie AlBalsam;https://www.telecontact.ma/annonceur/pharmacie-albalsam-/3115906/casablanca.php; hay Sidi Moumen, rue 10 n°84;33.58503123891316, -7.528928494235288;05 22 71 92 03 
94;Pharmacie AlBasmala;https://www.telecontact.ma/annonceur/pharmacie-albasmala-/3142719/casablanca.php; bd Chefchaouni, résid. Atlantique;33.6117, -7.53087;05 22 35 66 51 
95;Pharmacie AlBaïda;https://www.telecontact.ma/annonceur/pharmacie-albaoda-/2105000/casablanca.php; 496, avenue Makdad Lahrizi, hay Khalid;33.5423, -7.56445;05 22 37 27 95 
96;Pharmacie AlBouchra;https://www.telecontact.ma/annonceur/pharmacie-albouchra-/0283600/casablanca.php; 218, bd Ambassadeur Ben Aïcha ;33.60122669343311, -7.585589474451956;05 22 24 69 43 
97;Pharmacie AlBouchra;https://www.telecontact.ma/annonceur/pharmacie-albouchra-/3150951/casablanca.php; hay Massira II, rue 44 n°79;33.57369733097408, -7.542165195723783;05 22 71 97 93 
98;Pharmacie AlBoustane;https://www.telecontact.ma/annonceur/pharmacie-alboustane-/2110056/casablanca.php; 580, bd Ibn Sina - ex Avicenne ;33.568004430, -7.677278280;05 22 90 33 97 
99;Pharmacie AlFadila;https://www.telecontact.ma/annonceur/pharmacie-alfadila-/2122895/casablanca.php; 226, avenue Joulan - ex D, Salmia II;33.5548, -7.57185;05 22 38 01 47 
100;Pharmacie AlFarabi;https://www.telecontact.ma/annonceur/pharmacie-alfarabi-/0281300/casablanca.php; 45, bd de Bourgogne ;33.59824600961859, -7.640250438404692;05 22 27 35 82 
101;Pharmacie AlFarah Essalam;https://www.telecontact.ma/annonceur/pharmacie-alfarah-essalam-/3268319/casablanca.php; quartier Lissasfa (route d'El Jadida), q. AlFarah Dar Essalam Gh 42 n°8;33.53731745872334, -7.696874809887277;05 22 90 94 47 
102;Pharmacie AlGhaït;https://www.telecontact.ma/annonceur/pharmacie-alghaot-/3032284/casablanca.php; 190, bd Abdelkrim Al Khatib ex Oulad Ziane ;33.577767000, -7.588585800;05 22 85 41 39 
103;Pharmacie AlHadika;https://www.telecontact.ma/annonceur/pharmacie-alhadika-/3076265/casablanca.php; résid. Alhadika (rte de Rabat), imm.2 n° B28;33.60317091524035, -7.533078208141332;05 22 66 65 51 
104;Pharmacie AlHakim;https://www.telecontact.ma/annonceur/pharmacie-alhakim-/3084432/casablanca.php; hay Hassani ang. rue 64 et 16 n°100 lotiss. Sekellia;33.56525179754584, -7.694133794089566;05 22 90 71 60 
105;Pharmacie AlHamd;https://www.telecontact.ma/annonceur/pharmacie-alhamd-/2216917/casablanca.php; hay El Qods, imm.G 3 G - M2 résid. AlBoustane 1;33.61732984649414, -7.4802222607338535;05 22 73 03 71 
106;Pharmacie AlHayat;https://www.telecontact.ma/annonceur/pharmacie-alhayat-/3267919/casablanca.php; hay Sidi Moumen, rue 20 n°93-95;33.58226046828546, -7.531428313037168;05 22 70 36 09 
107;Pharmacie AlHikam;https://www.telecontact.ma/annonceur/pharmacie-alhikam-/3054571/casablanca.php; 206, bd de la Gironde ;33.57803632537152, -7.594574526238898;05 22 28 05 47 
108;Pharmacie AlHousna;https://www.telecontact.ma/annonceur/pharmacie-alhousna-/3013667/casablanca.php; hay AlBaraka, rue 13 n°182.;33.56963269506923, -7.5372668299498855;05 22 72 61 01 
109;Pharmacie AlIchraf;https://www.telecontact.ma/annonceur/pharmacie-alichraf-/3266079/casablanca.php; 9, lotiss. Al Ichraf ;33.51111371459525, -7.651261022506674;05 22 58 47 71 
110;Pharmacie AlIdrissi;https://www.telecontact.ma/annonceur/pharmacie-alidrissi-/3196185/casablanca.php; lot. Anassi, Ge1 n°7;33.5869, -7.50148;05 22 74 01 00 
111;Pharmacie AlImam Ali;https://www.telecontact.ma/annonceur/pharmacie-alimam-ali-/3033810/casablanca.php; 6, bd Chefchaouni ;33.6115, -7.53116;05 22 34 36 28 
112;Pharmacie AlImam Malek;https://www.telecontact.ma/annonceur/pharmacie-alimam-malek-/3078478/casablanca.php; derb Lakrimate I, rue 28 n°64;33.54891567725944, -7.606773503302065;05 22 21 33 13 
113;Pharmacie AlJabbar;https://www.telecontact.ma/annonceur/pharmacie-aljabbar-/3266930/casablanca.php; quartier Lissasfa (route d'El Jadida), Douar Bouchaib ElWatani;33.5294969394132, -7.6816805088004685;05 22 65 01 36 
114;Pharmacie AlJawda;https://www.telecontact.ma/annonceur/pharmacie-aljawda-/3031285/casablanca.php; hay Raja I (Bournazel), rue 6 n°1;33.573697330974205, -7.560937976619016;05 22 72 70 55 
115;Pharmacie AlKaria;https://www.telecontact.ma/annonceur/pharmacie-alkaria-/3192514/casablanca.php; hay Sidi Moumen Jdid, grp.2 rue 8 n°56;33.57829185474609, -7.548224305888425;05 22 72 70 40 
116;Pharmacie AlKindi;https://www.telecontact.ma/annonceur/pharmacie-alkindi-/3056093/casablanca.php; 48, qu. les Crêtes, rue 1 lotiss. Hafdia;33.54598654438822, -7.60454837108;05 22 50 72 57 
117;Pharmacie AlKorama;https://www.telecontact.ma/annonceur/pharmacie-alkorama-/3117687/casablanca.php; rue Essaka El Hadidia -ex Margaux ang. rue de Carbone, résid. Andalous IV;33.58079870519846, -7.599861695096051;05 22 83 59 50 
118;Pharmacie AlMadina AlJadida;https://www.telecontact.ma/annonceur/pharmacie-almadina-aljadida-/3267912/casablanca.php; Lotiss. Al Madina Al Jadida ;33.55850863389646, -7.535784220477353;05 22 70 03 61 
119;Pharmacie AlManar;https://www.telecontact.ma/annonceur/pharmacie-almanar-/3148765/casablanca.php; lot. Jaouhara, rue 5 n°90;33.5923688822494, -7.520517086764585;05 22 71 77 48 
120;Pharmacie AlManfaloti;https://www.telecontact.ma/annonceur/pharmacie-almanfaloti-/3072225/casablanca.php; cité O.n.c.f., rue Tahrir bloc 3 n° 30;33.59021583254536, -7.569930680273501;05 22 63 02 82 
121;Pharmacie AlMania;https://www.telecontact.ma/annonceur/pharmacie-almania-/3190489/casablanca.php; hay Sadri (Bournazel), kiss. Lkheirya;33.566076527805826, -7.555863573722845;05 22 71 31 52 
122;Pharmacie AlMassira;https://www.telecontact.ma/annonceur/pharmacie-almassira-/0281500/casablanca.php; 51, rue Rahal Ben Ahmed - ex Dinant ;33.59627457177019, -7.589079859038756;05 22 24 80 54 
123;Pharmacie AlMehdia;https://www.telecontact.ma/annonceur/pharmacie-almehdia-/3096609/casablanca.php; Hay Inara I, lotiss. Mehdia, rue 10 n°89 bis;33.53137420597495, -7.597638642569791;05 22 50 15 30 
124;Pharmacie AlMiza;https://www.telecontact.ma/annonceur/pharmacie-almiza-/3086197/casablanca.php; quartier Lissasfa (route d'El Jadida), lotiss. Alkhalil, imm. A3;33.54341118552092, -7.672021726794469;05 22 93 19 29 
125;Pharmacie AlMolk;https://www.telecontact.ma/annonceur/pharmacie-almolk-/3269882/casablanca.php; quartier Ahl Loghlam, lot Salama II Z 16;33.588751528890334, -7.484610354682218;05 22 73 73 53 
126;Pharmacie AlMotahida;https://www.telecontact.ma/annonceur/pharmacie-almotahida-/3110840/casablanca.php; hay El Oulfa, lot. Sidi Abderrhman rue 36 n°31;33.54810341586391, -7.679309224864255;05 22 89 56 06 
127;Pharmacie AlMouwaten;https://www.telecontact.ma/annonceur/pharmacie-almouwaten-/3110524/casablanca.php; 192, hay Nassim ;33.5275150788846, -7.658986190982091;05 22 90 97 34 
128;Pharmacie AlOroba;https://www.telecontact.ma/annonceur/pharmacie-aloroba-/3133313/casablanca.php; avenue du Deux Mars, lot. Rajaa Saïda rue 14 n°15;33.5562, -7.60596;05 22 87 03 65 
